//===== AI Item Buff List Configulation Files =======================================
//  Whispering Rain
//= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 
// Structure of Database:
// itemid,duration,reset when dead (0/1)
// EX. 12210,1800000,0
//= = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 
12210,1800000,0
12209,1800000,0
12208,1800000,0
6000243,1800000,0
14592,1800000,0
//12207,1800000,0
//12206,1800000,0
//14766,1800000,1
645,1800000,1
656,1800000,1
657,1800000,1
3212,1800000,1
14766,1800000,1
12215,240000,1
12216,240000,1
12928,240000,1
12218,600000,1
12219,250000,1
12883,1800000,1
23475,1800000,1
12796,600000,1
6000238,1800000,1
12684,90000,1
12354,6000,1




